"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2301","2314","2192","2126","1945","1912","1814","1818","1833","1882","1796","1859","1880",
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2277","2101","1924","1942","1918","1775","1648","1635","1655",
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"191","180","162","204","191","162",
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3283","3204","3111","3012","3084","3249","3113","3065","3131","3293",
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1841","1665","1726","1601","1651","1636","1488","1437",
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3442","3099","2765","2675","2603","2384","2266","2348","2241","2311","2244","2060",
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2118","2146","2214","2331","2412","2372","2353","2334",
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"965","951","902","858","792","770","745",
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2406","2277","2210","2068","2059","2071","2078","1961","2011","1986",
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"205","212","227","223","204","219","231","186","209","215","216","253",
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1279","1341","1294","1145","1013","1085","1008","1079","1095","1139","1156","1038","1131",
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2090","1842","1608","1278","1172","1032","883","858","829","780",
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"155","109","117","101","125","106","101","93","100","86","86","93","65",
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4470","4187","4149","3853",
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1227","1104","969","904","805","717","762","763","668","648","557","572",
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5965","15893","14956","14305","13536","12876","12239","11549","11417","10806","10546","9775","8984",
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6330","5862","5313","5067","4740","4529","4390","3943","3942",
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"92","92","86","85","118","117","112","158","129","170","140","113","119",
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5133","5075","5115","4617","4585","4560","4338","4481","4543","4627","4819","4774","4795",
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2077","1960","1857","1847","1738","1726","1624","1570","1441","1392",
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2960","2516","2400","2002","1864","1637","1476","1404","1306","1243","1129","1149",
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4958","5030","4961","4759","4678","4734","4501","4511","4524","4534","4471","4454","4590",
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269","283","315","269","289",
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2870","2896","2371","2104","1873","1633","1430","1487","1456","1488","1384","1293","1323",
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"387","433","422","432","419","384","407","421","414","371","450","419","452",
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4305","3899","3528","3251","3121","2971","2738","2598","2724","2674","2730","2572","2886",
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"31650","29795","27827","25003","22120","20183","20199","18600","16840","15083","12913","11958","12754",
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1666","1358","1122","1022","958","843","799","786","790","632","561",
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"38","58","51","54","55","54","39","43","39","37","45","41","48",
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2936","2836","3082","3045","2840","2830","2743",
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4153","4150","4070","3482","3110","2947","2729","2651","2613","2369","2142","2010","1810",
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"286","226","212","212","190","169",
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2612","2515","2335","2450","2345","2353","2282","2271","2277",
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"152","169","142","109","113","100","99","102","96","90","80","80","59",
"        High school, no diploma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"374523","438681","419416","447336","446727","435190","419173","435622","418509","406561","381013","357769","337490",
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7598","7302","7093","6628","6169","5855",
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1201","1080","998","1050","942","880","830",
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13842","13142","12352","11557","11102","10350",
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5039","4887","4724","4575","4301","3964",
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"98886","94364","85783","80068","73949","68495","61850","57698","52232","48019","43176","38844","35283",
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10679","10943","10096","9283","8074","7211","6704","6152","6276","6082","5716","5291","5144",
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2805","2732","2484","2393",
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1983","1955","1802","1670","1617","1470","1355","1339","1214","1089","1043","1048","923",
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1449","1455","1391","1184","1139","1051","985","952","828","748",
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"35884","33619","30939","27868","26144","25035","23651","22059","21544","20862","20152","18922","17660",
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23392","22372","19004","17201","15843","14439","15131","14672","13833","12620","11878","11851",
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3054","3095","2959","3044","2858","2863",
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2936","3025","2776","2577","2316","2346","2124","2163","2112","1963","1946","1801","1804",
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22324","19898","18538","16654","15908","15089","13870","12844","11739","10453",
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15096","14530","13682","12742","11753","11231","10551","9812","9575","9134","8779","8453","8309",
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4563","4510","4378","3900","3740","3624","3466","3447","3238","3098","3067","3091","2802",
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5857","5957","5721","5414","4890","4670","4275","4031","3795","3627","3285","3199","2984",
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9968","9657","9050","8457","7759","7127","6584","6408","6142","5810","5643","5238","4971",
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10345","10174","9767","9229","9028","8100","7538","7147","6694",
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"806","722","676","664","628","630",
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7752","7338","7159","6679","6446","6215","6219","5801","5802","5778",
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5702","5421","5162","5048","4615","4522","4157","4080",
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16470","15518","14688","13654","12989","12524","11719","11258","10583","10252","9624","9206",
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5358","5076","4921","4720","4831","4816","4390","4505",
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5403","5136","4859","4455","4209","3901","3820",
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10717","9770","9238","8720","8219","7695","7292","6802","6716","6431",
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1570","1489","1363","1283","1243","1172","1171","1117","1157","1041","947","897",
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3207","3160","3114","2774","2385","2356","2447","2223","2209","2048","2060","1965","1739",
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7161","6915","6539","5929","5927","5913","5655","5177","4826","4504",
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1198","1168","1039","969","869","844","776","725","675","656","617","564","548",
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7088","6454","6437","6080",
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6631","6075","5601","5153","4838","4626","4339","4307","4214","3874","3490","3440",
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15257","36866","35695","34621","32415","31790","29461","28417","27127","25331","24154","22395","21562",
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17003","16194","14974","14108","13468","12793","12421","11694","11254",
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"739","745","775","758","772","751","769","836","868","828","791","783","757",
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"21187","20848","19896","18118","16734","15936","14929","14384","13859","13799","13242","12633","12240",
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9200","8412","8175","7765","7634","7357","7170","6487","6134","5984",
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7370","6733","6185","5627","5327","5215","5072","4873","4625","4212","3975","3708",
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"19200","18375","17719","17079","16125","15582","14130","13615","13101","12291","11823","11444","10945",
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"981","951","942","898","928",
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"11441","11472","10734","9855","9289","8773","8001","7563","7296","6681","6376","6062","5924",
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1568","1528","1517","1493","1536","1566","1457","1453","1446","1416","1432","1282","1206",
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15364","14643","13659","12250","11226","10656","9962","9522","9044","8404","7987","7604","7315",
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"85508","81863","79518","74189","68536","65867","63315","62383","61443","58722","53647","50716","46208",
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5827","5398","4758","4445","4131","4021","3801","3614","3362","3074","2840",
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"594","573","527","527","515","493","413","424","416","371","352","370","317",
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7157","6886","6792","6646","6426","5937","5451",
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12400","12354","11977","10941","10229","9419","8624","8637","8234","8166","7532","7075","6641",
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2819","2509","2459","2216","2143","2076",
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6250","5968","5492","5157","5075","4652","4477","4275","4039",
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1008","1093","1005","941","792","827","800","768","689","698","606","555","556",
"        Associate degree (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"152031","183121","186814","213677","240445","260371","278545","306725","309800","321856","316065","313569","309300",
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4664","4781","4687","4857","5034","5017",
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"896","895","894","906","844","838","776",
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6996","6952","7173","6756","6887","6803",
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2755","2861","2807","2723","2978","2889",
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"28802","28278","27869","27711","29240","30188","30529","31898","31225","31795","30847","29872","29852",
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4416","4355","4557","4689","4762","5034","5169","5510","5482","5378","5223","4914","4991",
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3188","3162","3126","3142",
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"631","620","627","592","638","696","669","729","758","732","778","740","750",
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"203","219","230","250","270","236","274","263","255","259",
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"20481","19862","19545","19669","20159","20414","21344","21421","21781","22599","22571","22817","22586",
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7418","6976","6681","7142","7137","7936","7936","8480","8666","8933","9470","9844",
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2189","2327","2298","2174","1976","1681",
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2306","2314","2258","2205","2161","2320","2337","2290","2316","2321","2286","2148","2259",
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11952","11963","11992","11936","12343","12519","12242","11711","11547","11207",
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6941","7100","6631","6703","6899","6903","6920","7121","7340","7306","7051","6842","6464",
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5208","5207","5094","5193","5126","5307","5472","5492","5263","5045","4853","4746","4649",
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2718","2828","2922","3034","3231","3322","3371","3546","3587","3605","3478","3486","3386",
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4119","4202","4281","4373","4419","4608","4824","5010","5115","4964","5028","4928","4864",
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3713","3902","4414","4150","4276","4363","4531","4582","4511",
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1219","1178","1245","1204","1186","1114",
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4336","4374","4483","4467","4864","4690","4703","4733","4567","4543",
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4534","4527","4523","4528","4431","4355","4182","4252",
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8996","8804","8715","8829","8810","9300","9668","9657","9932","9518","9423","9055",
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9050","9378","9445","9333","9096","8869","8500","8012",
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4326","4488","4564","4644","4792","4741","4876",
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5840","6034","6285","6443","6640","6611","6611","6489","6494","6429",
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"985","977","981","1049","1009","1127","1162","1202","1109","1041","1026","1016",
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2668","2659","2549","2666","2650","2690","2817","2863","2906","2752","2674","2674","2468",
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2193","2249","2401","2364","2482","2544","2654","2664","2598","2661",
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1211","1161","1122","1001","1239","1175","1130","1142","1177","1091","1158","1082","1073",
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7000","7054","6828","6909",
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2164","1822","1820","1944","1982","2036","2172","2181","2194","2164","2159","2135",
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"11712","19417","19191","18531","18549","18700","18511","18967","18680","18758","18189","17968","17602",
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9734","9830","10040","10449","10767","11044","11148","11226","11332",
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1149","1183","1221","1242","1244","1414","1460","1555","1545","1539","1421","1413","1303",
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"11548","11573","11444","11529","11882","12082","12499","12863","12994","12589","12616","12070","11968",
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3505","3451","3677","3742","3993","4019","3998","3928","3891","3793",
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3174","3138","3093","3172","3463","3574","3672","3815","3773","3556","3548","3457",
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12177","12273","11869","11758","12142","12361","12192","12447","12407","12598","11990","11748","11265",
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"707","696","808","741","708",
